,tweet,user
0,Masih diskon gak sih dih nyesel pas di Sby kmrn enggak jadi ambil :(,adeuchrwp
1,Mantaaab kali gratis ke Antlantis buat yg lahir di bulan november wkwkwkw. Ajak temen 2 diskon 50% nih wkwkw...,SurayaVie
2,GARENA SHELL DISKON 50%  . Ada diskon 50% untuk pembelian denom 66 Shell untuk kamu para gamers di aplikasi Dunia Games!  Download aplikasi Dunia Games di PlayStore kamu! .  Periode… https://t.co/VG6KFL9zeZ,bakhtiarrifai
3,"Promo Garskin CSholic!! \(ˆ▽ˆ)/ Reseller yuk merapattt ada diskon besar""annnnnnnn :D order yukkk https://t.co/dNDDPGWyDn",CrownShopaholic
4,Pre-order sampai tanggal 15 November 2018 ... RAKSASA BERMATA BIRU - Nazim Hikmet Harga normal: 55k Harga pre-order: 41k (diskon 25%) Tebal : 132 hlmn Jenis : puisi ... Sevgili kardesim… https://t.co/YMCjJDHY88,paperplanebooks
5,"Acc kamu sepi? Mau nambahin followers rp? Sama aku aja yuk, yang pastinya murah tanpa diskon cyin dan ofc terpercaya~!!!  Tag: followan rt peka dn lelang acc murah upfoll open follow  (Bot)  https://t.co/UiNImgdZLu",Neng_UpfollRP
6,ANJIR HACK DISKON JD CM 160K,mandavermillion
7,Hanya hari ini!!! Merk Griya lavender diskon 10% all item. Silahkan diorder!!! Order by inbox atau klik https://t.co/P0DligMNrB,Ekha_Mukarramah
8,"@ohmybeautybank Budget di atas kamu sedikit, Nder ... Di sport station lumayan miring kalau lagi diskon https://t.co/DAc2Os57XY",MIRANDASEFTIANA
9,UPDATE !! Maret 2015 dapatkan diskon untuk kelipatan pembelian !! #jual #jasa #penambah #followers,djualfollowers_
10,@rahagyu29 @bayu_joo Jadi misal harganya 100rb diskon 70% + 30% Cara penghitungannya 100rb - 70% = 30rb Lalu 30rb - 30% = 21rb. Jadi masi ada yg harus dibayar ga gratis juga 😭😭,gardagagar
11,"@askmenfess aku sih ke toko kosmetik wkwkwkwkw atau ke gramed liat liat aja, atau cari yg diskon diskon dan berujung makan. selesai deh",rendezvoucs
12,"sedang banyak diskon, tapi sedang tidak punya banyak uang, yayaya",nfaulad
13,"Dapatkan Harga Spesial untuk pemesanan sofa 2-Seater sebesar Rp. 2.299.900,-. *berlaku hingga 4 November 2018. . #casamobiliindonesia #sofa #sofa2seater #weekendsale #promosi #diskon #sale… https://t.co/p5rPF1a9px",casamobili_sofa
14,"@TransStudioBdng min, bulan ini ada diskon untuk guru ya?",silmafiefa
