,tweet,user
0,HOT DISKON!!!  SPESIAL NOVEMBER!   Khusus Area sumbar FREE ONGKIR!  Potongan 10k untuk selain sumbar..   Khusus pembelian gamis ya dear... 😊 Buruan!!! Stok cepat habis!!!  Tanya stok WA 081277870343,IndarNovisary
1,@txehyng95 @rvseulgikang_ @AUTOMNFS beli aja dapet diskon 20%,jevantampan
2,"Every think will be fine, asal kalian tahu triknya supaya gak kalap sama yang namanya #diskon *meski bukan lebaran tp pasti berguna kok 😉 #JumatBerkah #PagiPagi #financialplanning https://t.co/bCu0oc4P0v",heizyi43
3,@sedangmengeluh @ohmybeautybank Iya aku tau lagi diskon tp di foto si sender harga diskonnya cuman 119 padahal seingetku semalem tuh pas ngecek 70ribuan😃,selfeeani
4,@selfeeani @ohmybeautybank Emang lagi diskon wkwkwk,sedangmengeluh
5,"Bagi anda yg menyukai penghematan dan Promo2 diskon , Mari Follow diskonevoucher krn banyak info diskon berguna bagi anda .. .",PontasYabesS
6,@ohmybeautybank Lho bukannya fit me nya 70ribuan? Semalem kalo ga salah liat harganya segitu emang lago diskon gede,selfeeani
7,@askmenfess udah biasa  Yg cashback 100% atau diskon bayar setengah ada ?,intangut
8,"https://t.co/a511GWSUx4 diskon 2% untuk pembelian 50ribu pertama mu, semua produk, buruannnn",awereweaceh
9,Nunggu diskon dr play store la https://t.co/FqwIec7Mfj,masterando
10,"Cardholders, jangan lupa setiap hari Rabu pasti banyak diskon di e-commerce favorit. Nah, giliran Berrybenka nih yang ada diskon hingga 15% tentunya dengan #mandiricard #mandiripromo https://t.co/NJfE4EsiEL https://t.co/nhWcRGyyfu",mandiricard
11,"Cardholders, sudah pada gajian belum nih? Setelah gajian boleh banget loh makan siang bareng sahabat di Tom Tom. Jangan lupa gunakan #mandiricard dan nikmati diskon 20% #mandiripromo https://t.co/LH9p7xwY24 https://t.co/CygvK9ncbc",mandiricard
12,"Cardholders, jangan lupa yah kalau mau beli tiket untuk traveling, ingat Qatar Airways karena dengan #mandiricard sedang ada diskon 10% loh. Yuk tunggu apalagi. https://t.co/mzV5FCcXNz #mandiripromo https://t.co/tTl4oUaO65",mandiricard
13,@New_preloved tix id? btw numpang promosi huhu yg mau pake code promo diskon punyaku NQWW26 ya❤️,plumptish
14,"guys bantu retweet ya.  OT: dijual dengan harga DISKON 50% satu set tempat tidur double bed anak-anak, dari Rp 16 juta menjadi Rp 8 juta saja.   100% hasil penjualan akan DISUMBANGKAN UNTUK KORBAN BENCANA GEMPA LOMBOK/PALU.   hubungi: 081212894455 (Nia - Ayo Dongeng Indonesia). https://t.co/k8FdzCbWDM",rossonerifreak
