,tweet,user
0,"// sekalinya dapet jadwal diskon, tglnya gak memungkinkan semua.",0FFDEF
1,"KARENA SEKALI GAPERNAH CUKYUP!!! ""PEKAN FASHION DISKON"" - #ShoppingDiscountWeek 2018 HADIR LAGI!!! . Masih dalam rangkaian #DISKONULANGTAHUNYOGYA2018 Nikmati &amp; jangan sampai ketinggalan… https://t.co/rbEtw6iJdY",YogyaCiwalk_
2,GARENA SHELL DISKON 50%  . Ada diskon 50% untuk pembelian denom 66 Shell untuk kamu para gamers di aplikasi Dunia Games!  Download aplikasi Dunia Games di PlayStore kamu! .  Periode… https://t.co/6v4uCYyM5y,5y4f
3,Promo Akhir Tahun Suzuki Mobil. Tukar Tambahkan Ertiga Lama Anda ke All New Ertiga.  Dapatkan Diskon Spesial All New Ertiga Sampai Dengan 30 Juta Rupiah.  Buruan Promo Terbatas… https://t.co/oBlbTL0Qbm,BEKTIEE
4,- DISKON ULANG TAHUN YOGYA 36 - 28 Oktober 1982 adalah hari jadi dari YOGYA GROUP . DISKON SUPERMARKET TERBESAR TAHUN INI . 5% DISKON SUPERMARKET 20% DISKON FASHION  MULAI TANGGAL 3 - 4… https://t.co/1UJollXO49,YogyaCiwalk_
5,"@reginalarst Udah ngga, cuma sampe 31 oktober. Ditunggu ajaa kali ya, biasanya diskon lagi kok tapi entah kapan😭",bvttercookies
6,Sensacion shower cream Memberikan kelembaban dan parfum yang tahan lama bagi kulit. Dapatkan A11 Specia11 price diskon hingga 70%. More info please check https://t.co/1x4jdUYTxJ #ShoppingFever #1111ShoppingFever #WatsonsID #Promo1111 #Diskon1111 https://t.co/Zp9A8GhmXX,WatsonsIndo
7,"KARENA SEKALI GAPERNAH CUKYUP!!! ""PEKAN FASHION DISKON"" - #ShoppingDiscountWeek 2018 HADIR LAGI!!! . Masih dalam rangkaian #DISKONULANGTAHUNYOGYA2018 Nikmati &amp; jangan sampai ketinggalan… https://t.co/DlXqdxm7yI",YogyaCiwalk_
8,Kemeja Slimfit Ukuran: tercantum di gambar  Bahan: tercantum di gambar  Harga ecer: 175rb/pcs Beli banyak dapat diskon  Reseller/Dropship welcome  Contact &amp; Order: check Bio 👆👆 MAAF TIDAK… https://t.co/xOi0c4cFqF,ria_indra
9,"KARENA SEKALI GAPERNAH CUKYUP!!! ""PEKAN FASHION DISKON"" - #ShoppingDiscountWeek 2018 HADIR LAGI!!! . Masih dalam rangkaian #DISKONULANGTAHUNYOGYA2018 Nikmati &amp; jangan sampai ketinggalan… https://t.co/zAhCemC22Q",YogyaCiwalk_
10,"@beenbujana @BobotohID @officialvpc @bonjovi_33 @persib @dadan_garenk @BobotohStiemb @TukangKomporin @yanaumar @vikingpersib_93 Wihh viking cipeundeuy , 3 poin harga mati sib.   11rebu harga diskon",GHerdianhidayat
11,@AkulakuCare mau tanya donk persyaratan untuk belanja merchant offline diskon 50% apa?? Trims.,enzelbert10
12,@womanfeeds Offline aja deh mendingan... lg byk diskon juga kok gue liat kemarin,iftncouldtalk
13,@bae_jinoung @pinalai18 Kalo beli satu paket gak diskon ya? :(,KouwalaBee
14,Monita banyak diskon tapi aku tyda punya uang.  Terima kasih monita:),ribkanads
