,tweet,user
0,Gaesss... Promo naik Trans Semarang bayar dengan GoPay diskon 50%. Berlaku mulai 1 November - 31 Desember 2018  Yukkk...kita kemana😉😉  #Transsemarang #terusberbenah https://t.co/UTU6PhTGZx,Transsemarang
1,miskin level: liat-liat barang di toko mahal sambil pura-pura buka hp balesin chat padahal lagi buka kalkulator ngitungin harga setelah diskon eh tetep aja duitnya gak cukup 🤷,ririnriandini
2,"Jadi nih, aku saranin biar GAK ADA TAGIHAN kalian belanjanya dibawah harga voucher yg kamu punya. Misal punya voucher 50k, nah kamu tukerin ke diskon alfa yg harganya 50k juga. Jadi kamu gak ada tagihan 😁",grinteaa
3,@womanfeeds Langsung beli aja di official mereka di shopee sering diskon garnier di sana,bts21bts
4,PROMO:  Rumah 2 Lantai Jatiasih HANYA 499 Juta. DISKON 100 Juta! #rumah #dijual Rp499jt #bekasi https://t.co/Mm18djAS6X via @urban_indo,TiaraProperty
5,"/wts/ satu set 200k handcarry, limited s.d. 11nov aja bonus bromidenya, lagi diskon jg, harga normal 400k-an. Kalau mau sharing bisa ajak temen, 1memb bertiga, 80k/box+odol, dom Bekasi @YourFansStuff https://t.co/l3ggfeKyQv",munbukalapak
6,"Cocok untuk Lulusan SMA, Mahasiswa &amp; Umum | Diskon 100ribu EAC | Kelas Siang 13:30 - 15:00 | Info Lengkap hubungi ELTI Sabirin 0274-561849 atau ELTI Hadidarsono 0274-562155 WA : 0895-0754-8979 | #elti #eltijogja #eltisabirin #eltihade #eltihd #kursusinggris https://t.co/J1lA5WsuV2",eltijogja
7,"/wb ada yang mau beli ini? Ini satu set, 200k, handcarry, limited s.d. 11nov aja, lagi diskon juga, harga normalnya 400k-an. Kalau mau sharing bisa ajak temen, 1memb bertiga, 80k/box+odol https://t.co/ngbIeEvZH0",Wannable_twts
8,tanya tanya aja lagi diskon di https://t.co/R43cakPV4o,exowhite
9,"[idm] guys yg mau beli masker mediheal x bts di watsons lg diskon tuhh, cus diangkut @BTS_twt #MTVEMABiggestFansBts",indomymenfess
10,"Dibalik orang-orang yang happy karena diskon-diskon dan promo yang luar biasa dari e-commerce, percayalah banyak orang babak belur dibalik itu. Lol. Selamat menikmati guys, cek syopi lagi gila-gilaan banget hari ini",NidyaFebriani
11,"Nikmati diskon hingga Rp 25rb dengan @KartuKreditBCA, Debit, BCA, Flazz, dan Sakuku di outlet Warunk Upnormal Jabodetabek &amp; Bandung setiaphari Senin! #BCADining  Info lengkap kunjungi: https://t.co/w5TxRYZq6l https://t.co/b8eOn5DaMg",KartuKreditBCA
12,"Salah bgt semalam ke Mall.. Matahari lagi diskon beli 1 gratis 2... ada rasa2 ingin ku belanja.. tapi setelah memikirkan kreditan.. . . Aku simpan dompetku lagi. Kemudian aku berlalu pergi. Sambil menatap lalu berkata dalam hati ""aku harus kuat....""",yunayah21_
13,"Paket BUKU DR ZAKIR NAIK. Pengantar bahasa Indonesia, setelah diskon Rp 139.000. Mari Pesan dengan klik: https://t.co/PoUioEiomT https://t.co/6DXLaDZ5dy",surgabuku
14,BESOK LUSA !! Promo JCO Terbaru 2 Dozen Donuts Rp102.000 Periode 05 - 07 November 2018 | Lihat info selengkapnya di https://t.co/g4v4d2tr0H https://t.co/g4v4d2tr0H,harga_promo
