,tweet,user
0,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
1,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
2,mirota tuh emang ya. udah paling murah masih juga masih diskon. :))),heroxiine
3,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
4,@askmenfess Harusnya bahas diskon gini nih yg banyak! Beli dimana buru jawab!!!,sugarosey
5,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
6,@askmenfess iya di mirota juga diskon kmrn,heroxiine
7,"Halo! jadi Big Bad Wolf (BBW) lagi ada di Medan nih. aku mau buka jastip, siapa tau ada yg mau beli buku dr BBW, lumayan loh buku impornya diskon dr 60-80% anw, jastipnya 20rb aja per transaksi. nanti kalian blg mau buku apa terus aku cariin getoh",bymaxx23
8,Siapa lagi yang mau join reseller Nibras kak... Berikut ketentuannya: Pembelian mulai 1 pcs diskon 10% Mulai 3 pcs diskon 15% Mulai 6 pcs diskon 20% yang malu2 chat Mimin 082324126647,niessa_Zoeharto
9,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
10,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
11,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
12,Yang Perlu Anda Ketahui Sebelum Festival Belanja 11/11 dan 12/12 https://t.co/vHnEM8dG6x  Akhir tahun merupakan pesta bagi pelaku e-commerce di Indonesia dan Asia Tenggara. Hal ini disebabkan banyak promo diskon seperti 11/11 dan 12/12 yang jatuh di pengujung tahun. Data Criteo…,SayaSukaGudeg
13,@rahagyu29 @bayu_joo Jadi misal harganya 100rb diskon 70% + 30% Cara penghitungannya 100rb - 70% = 30rb Lalu 30rb - 30% = 21rb. Jadi masi ada yg harus dibayar ga gratis juga 😭😭,gardagagar
14,"Cardholders, sudah pada gajian belum nih? Setelah gajian boleh banget loh makan siang bareng sahabat di Tom Tom. Jangan lupa gunakan #mandiricard dan nikmati diskon 20% #mandiripromo https://t.co/LH9p7xwY24 https://t.co/CygvK9ncbc",mandiricard
