,tweet,user
0,@ENAJHYUN97 @ENAMINHYUNG99 @ENAJISUNG002 @ENAHAECHAN00 @ENAJENO00 Kata kata terakhir. Jangan diskon gue ye 👍,ENALUCAS99
1,"Tumben, akhir bulan Oktober gak ada yg mau kasih saya voucher diskon beli mobil ESEMKA...?",si_DikRizal
2,@womanfeeds lip cream dear me mumpung lg diskon,seonomama
3,READY!!!! PRODUK BEST SELLER Dapatkan diskon tambahan bagi yang langsung datang ke toko kami yang beralamat diPerempatan Cipasung singaparna,GaleryHWI77
4,Gaesss... Promo naik Trans Semarang bayar dengan GoPay diskon 50%. Berlaku mulai 1 November - 31 Desember 2018  Yukkk...kita kemana😉😉  #Transsemarang #terusberbenah https://t.co/UTU6PhTGZx,Transsemarang
5,"Outfit kuliah gue : Karet rambut gratis, boleh minta ke temen cewe Kaos polos 35rb pas ada diskon Flannel 40rb dapet di cimolan kemeja bekas Celana LEA gratis, warisan kakak ipar Boxer gratis, ngembat kolor badminton bokap Sepatu converse hasil nabung 3 taon  #sobatmiskin https://t.co/wmJLRXVVeL",ra_GILA_gil
6,Belanja online #murah #diskon aman dan terpercaya check it now https://t.co/3XnHHYvxzk ##diskon #ollshop #shoping,efviel
7,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
8,Diskon! Di mal ga dapet jeans keren harga 100rb! Cepet order di WA 081293994981 https://t.co/IYhdLWLRCP jaringaniklan,BillionStore
9,@beauthingy ori kok. emg segitu kan ya?  dan itu jg lg diskon.,la_vie_en_sa
10,"Kebahagiaan hari ini, kebetulan dapet banyak diskon skincare. Alhamdulillah, jd bukan cuman pake aer wudhu doang nih biar mulus😂😂",giaanggastaa
11,"Soulmates VIP room karokean. Jln. by pass, depan pom bensin (0752) 32506.Bukittinggi . untuk hari ini dikasih diskon.",Randycotok1
12,@KM_Ningning02 @KM_SAERON00 Kasih diskon ronn,KM_Seulgi94
13,"Buku ""Biografi Empat Imam Mazhab"". Setelah diskon hanya Rp 124.000 Yuk Pesan dengan klik: https://t.co/PoUioEiomT https://t.co/6R40rE3pJB",surgabuku
