,tweet,user
0,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
1,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
2,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
3,Flash sale sana sini ga ada yang jual watercolor paper diskon 70% gitu,AF_Hida
4,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
5,"Diskon Toyota Bogor, hub: 085701512000 https://t.co/UPX6O9lxEl #ToyotaBogor",Auto2000Bogor
6,"FLASH SALE TELAH DIMULAI! 100 orang pertama yang menggunakan kode promo RED4PM di jam 4 sore akan mendapatkan DISKON 25%. Hanya di RedDoorz App dan https://t.co/CQVxCqc3fU ya, #redtraveler! - Syarat &amp; Ketentuan: https://t.co/3krzBkjoN5 https://t.co/KGjr6U2e0Z",RedDoorzID
7,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
8,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
9,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
10,@ChocoBee_ engggaaa sepatu itu ga bakal diskon soalnya limited 😭😭😭   Tau album jepang emang medit pol,tys1004
11,"Bagi anda yg menyukai penghematan dan Promo2 diskon , Mari Follow diskonevoucher krn banyak info diskon berguna bagi anda .. .",PontasYabesS
12,terapkan konsumsi syariah. biarkan diskon 11.11 dimana mana. biarkan.,likayuliana21
13,"@rvsoojoyie Aku tungguin deh yang penting diskon, setia kan aku? &gt;____&lt;",lovarruka
14,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
