,tweet,user
0,Berangkat nanti siang jam segini baru beli tiket untung masih kedapetan daan dapet 2x diskon pula🤣,FitriUntari_
1,Federal Oil Diskon Setengah Harga Untuk Warga Palu https://t.co/yuypekgJ8n,ZonabikersID
2,"Soulmates VIP room karokean. Jln. by pass, depan pom bensin (0752) 32506.Bukittinggi . untuk hari ini dikasih diskon.",Randycotok1
3,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
4,Katalog Promo GIANT Ekstra dan Giant Ekspres Promo JSM Akhir Pekan 2 - 4 November 2018 |  Lihat info selengkapnya di https://t.co/PIqe5WJXBj https://t.co/PIqe5WJXBj,harga_promo
5,"@rizkyalmr abis beli ini ni kemaren di shopee jg , baru banget datengg .. untung belinya di official store nya .. trus dr harga 111rb jadi cm 88rb krn pas ada diskon , free ongkir pula haha .. hamdallah https://t.co/H4Q4pv2bza",calledmbutha
6,"Temukan peralatan masak berkualitas dari brand favoritmu seperti Yong Ma, Kirin dan Sanken dengan diskon hingga 50%, flash sale 2x dan voucher hingga 150RB cuma HARI INI di https://t.co/zwrZJkZEIS😍 Cek promonya disini https://t.co/LqoRuaY8Vy #jdid #bestkitchendeals #dijaminori https://t.co/1MXRDHJLcx",JDid
7,STARBUCKS Promo Diskon 50% untuk pembelian minuman Holiday Special*  menggunakan Starbucks Tumbler / Mug dan Kartu Kredit BCA | Lihat dulu yuk syarat dan ketentuan lengkapnya disini https://t.co/XhHvremwUk,katalogpromosi
8,"@anisanrzzh Watson, lagi promo weekend diskon '-'",dxlghtboy
9,Ini lucu banget sih :( murah juga :(((  Temukan ★Diskon Terbesar Tahun Ini★ Sweater Kaos Hoodie Lengan Panjang 4 warna hoodie h&amp;m sweater cewek dengan potongan 44%! Hanya Rp97.000. Dapatkan segera di Shopee! https://t.co/JTYUZJDWEd #ShopeeID https://t.co/LnMV0VpFXv,momogikrispy
10,@jeynooo Oke dibayar.. tapi diskon ya😌😂,yerved_
11,@askmenfess Aku ada yg diskon 90%,achtzehn_18
12,Aku beli jadinya 62k diskon 20% https://t.co/7ttnqFO2Cc,dxlghtboy
13,"@axlandrian @chicohakim Ealahh.... sapa tau mau jadiin satpam gitu.. yg katrok kan yg besar nyali tapi gak mikir. Banyak loh yg gituan di kota2 besar. Kadang kalau mau acara 5 tahun,.. harganya diobral. Diskon 50% +20% +20%...",jengkelin__
14,"Tulisannya 'melembutkan, menangkan pikiran tubuh dan jiwa' 62k , diskon 20% https://t.co/0iZiKINK9o",dxlghtboy
