,tweet,user
0,"Timeline penuh dgn diskon monita, untung lg di bdg, cb kalau d solo kalap aja udh :(",putridinaryr
1,Katalog INDOMARET Promo JSM Akhir Pekan 2 - 4 November 2018 | Lihat info selengkapnya di https://t.co/9gn41o0F6f https://t.co/9gn41o0F6f,harga_promo
2,"Set flat 5in 1 harga 190.000 Set wedges 5in 1 harga 205.000 Set flat 4in 1 170.000 Set wedges 4in 1 185.000 Set 3 in 1 135.000 Reseller diskon 10.000 Free syal dan gantungan khusus 5 in 1, stok jam dan kacamata... https://t.co/Gyr1lVgqzT",olshopbali
3,"Kulot Lawasan Ukuran: free size  tercantum di gambar,  no accessories  Bahan: tercantum di gambar  Harga ecer: 125rb/pcs  Beli banyak dapat diskon Reseller welcome  Contact &amp; Order: check… https://t.co/W3ZShZK2Mf",ria_indra
4,"RETWEET  dapet DISKON!! Sepatu wanita ,daster murah,baju hijab Invite Pin BB 31406d58 https://t.co/tqnvqmucU6 #reseller",Jagadmayanet
5,BIG BAD WOLF BOOK SALE MEDAN DIBUKA HARI INI! Kunjungi bazaar buku terbesar dg diskon 60%-80% untuk semua buku impor. Buka 24 Jam nonstop mulai 2-12 November 2018. Gratis biaya masuk gedung!  Aku tunggu kedatanganmu di sarangku Wolfies Medan! #auuwsome #BBWMedan2018 #mandiriBBW https://t.co/meT4GxMSm2,BBWBooks_ID
6,HOLLAND BAKERY Promo DISKON 20% Off* untuk Holland Banana Crepes mulai tanggal 22 Oktober - 04 November 2018 | Lihat informasi dan promosi selengkapnya hanya di https://t.co/AU9aRrs9sE,katalogpromosi
7,miskin level: liat-liat barang di toko mahal sambil pura-pura buka hp balesin chat padahal lagi buka kalkulator ngitungin harga setelah diskon eh tetep aja duitnya gak cukup 🤷,ririnriandini
8,"donlot Airbnb dan dapetin diskon Rp460,000 untuk petualangan pertama kalian. klik link berikut untuj dapetin disc https://t.co/fQxRZ2Pk3I",moodymuds
9,"Mon maap nih bkn mau riya. Cuma pen tweet aja. Jadi. Belum lama abis hampir seyuta buat baju dan sepatu aja. Eh udah dibroadcast ama toko baju langganan kalo ada diskon yg lumayan material. Gimana atuh atuh gimana~  Tahan, Kar.",Karuu3
10,"Janjian k gramedia yuk ada diskon buku nih d katalognya, tp kamu nya malah janjian sm temen kamu d karaokean 😵 #SaveMukaBoyolali",SufiMalamatiyah
11,miskin level: liat-liat barang di toko mahal sambil pura-pura buka hp balesin chat padahal lagi buka kalkulator ngitungin harga setelah diskon eh tetep aja duitnya gak cukup 🤷,ririnriandini
