,tweet,user
0,"CGV Cinemas kini hadir di Icon Mall #Gresik . Dapatkan diskon 20% untuk pembelian min. 2 tiket nonton melalui aplikasi/web GOERS, dengan menggunakan kode voucher… https://t.co/yjjLIb7XoV",GoersApp
1,@princekuanIin fansite kyknya😂 soalnya itu pun po di diskon:( kalo ntar pas ready harganya 265k belom ems dan tax anjer,aracelli_0129
2,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
3,"Beli tiket kereta api di @tokopedia diskon 20% pakai ePay BRI, min. trx. Rp100rb. Info lengkap https://t.co/1CvgQEWBkC https://t.co/hO4Z2UB2Uk",promo_BRI
4,Buat kalian yang bisa jajan di ALFAMART - Yuk di cek dulu Katalog Belanja ALFAMART Periode 01-15 November 2018 | Mana tau ada diskon buat produk yang lagi kalian pengen beli | Lihat yuk selengkapnya disini https://t.co/tqA8sL8MQk https://t.co/oP5S58D4pu,katalogpromosi
5,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
6,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
7,"STARBUCKS Promo Diskon 50% untuk pembelian minuman Holiday Special*, menggunakan Starbucks Tumbler / Mug dan Kartu Kredit BCA | Lihat dulu yuk syarat dan ketentuan lengkapnya disini https://t.co/P3daX4wl1C",katalogpromosi
8,Sempurnakan alat dapurmu yuk! Peralatan dapur yang Kamu butuhkan diskon hingga 84%!!  Belanja sekarang yuk &gt;&gt; https://t.co/YND6YiFLZY https://t.co/oPb1ozHGr4,alfacartID
9,@gramedia handmaid's tale belum ketemu miinn dan diskon buku juga paling dicari sih :'),Ljwoori
10,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
11,@YRachmania Temen gue nitip temennya pas di hongkong lagi diskon 30rebu doang tjoy 😂😂😂,urpoisonivy
12,{Np} 6 tiket diskon 50% masuk gelanggang samudra 30k aja berlaku sampe 15 nov 2018 https://t.co/9Ow2Utd9yw,New_preloved
13,"Kalok minta diskon, telponnyaaaa berkali kaliii...  Giliran diminta pelunasan, slow respond, not feeling well!!  YHAAA BHAIQUEEE!!   *saya jugak kalok ngeluarin duit jugakkk not feeling well Paaakk!!*",Kmunadiayuna
14,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
