,tweet,user
0,"@rizkyalmr abis beli ini ni kemaren di shopee jg , baru banget datengg .. untung belinya di official store nya .. trus dr harga 111rb jadi cm 88rb krn pas ada diskon , free ongkir pula haha .. hamdallah https://t.co/H4Q4pv2bza",calledmbutha
1,"Temukan peralatan masak berkualitas dari brand favoritmu seperti Yong Ma, Kirin dan Sanken dengan diskon hingga 50%, flash sale 2x dan voucher hingga 150RB cuma HARI INI di https://t.co/zwrZJkZEIS😍 Cek promonya disini https://t.co/LqoRuaY8Vy #jdid #bestkitchendeals #dijaminori https://t.co/1MXRDHJLcx",JDid
2,STARBUCKS Promo Diskon 50% untuk pembelian minuman Holiday Special*  menggunakan Starbucks Tumbler / Mug dan Kartu Kredit BCA | Lihat dulu yuk syarat dan ketentuan lengkapnya disini https://t.co/XhHvremwUk,katalogpromosi
3,"@anisanrzzh Watson, lagi promo weekend diskon '-'",dxlghtboy
4,Ini lucu banget sih :( murah juga :(((  Temukan ★Diskon Terbesar Tahun Ini★ Sweater Kaos Hoodie Lengan Panjang 4 warna hoodie h&amp;m sweater cewek dengan potongan 44%! Hanya Rp97.000. Dapatkan segera di Shopee! https://t.co/JTYUZJDWEd #ShopeeID https://t.co/LnMV0VpFXv,momogikrispy
5,@jeynooo Oke dibayar.. tapi diskon ya😌😂,yerved_
6,@askmenfess Aku ada yg diskon 90%,achtzehn_18
7,Aku beli jadinya 62k diskon 20% https://t.co/7ttnqFO2Cc,dxlghtboy
8,"@axlandrian @chicohakim Ealahh.... sapa tau mau jadiin satpam gitu.. yg katrok kan yg besar nyali tapi gak mikir. Banyak loh yg gituan di kota2 besar. Kadang kalau mau acara 5 tahun,.. harganya diobral. Diskon 50% +20% +20%...",jengkelin__
9,"Tulisannya 'melembutkan, menangkan pikiran tubuh dan jiwa' 62k , diskon 20% https://t.co/0iZiKINK9o",dxlghtboy
10,SIAPKAN DIRIMUUUU! Dalam rangka 11.11 semua menu akan  DISKON lhooo!  Pesan sekarang yuukkkK! Pesanan kamu akan dikirimkan FREE ONGKIR* juga lhohhh BURUAANNNNN!!! https://t.co/Ma2nWDRfay Take Eat Easy *snk berlaku  #eatez #eatezcom #makansiang #makanmalam #brunch #lunch #dinner https://t.co/TuEP93Fj0z,eatezcom
11,Follow Suzuki_BDG289 dan mention langsung kita buat order. Dapetin voucher diskon 1JT. kece kan? #SuzukiBandung #SuzukiMobil #SuzukiBandung289,Suzuki_BDG289
12,Promo SUPERINDO Katalog Superindo JSM Akhir Pekan 2 - 4 November 2018 | Lihat info selengkapnya di https://t.co/SWQIi1LPSf https://t.co/SWQIi1LPSf,harga_promo
13,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
14,"Happy weekend ultra people 💘 bingung hari sabtu ini mau kemana? Rencanain liburan bareng keluarga di ancol dengan menggunakan aplikasi ultra voucher, kamu akan mendapatkan diskon murah. Perorang hanya bayar tiket masuk 18.000 loh ;) #ancol #weekendvoucher #ultravoucher",Ultra_voucher
