,tweet,user
0,Diskon hingga 15% di Crystal Jade dgn CC BCA tertentu. Min transaksi IDR500K. Tidak berlaku di hari besar tertentu. Hingga 31 Jan 19. https://t.co/WWoA2EkHM2,redirectline
1,LAZADA BCA MONDAY ePromo! Diskon 10% Hingga Rp 100.000 dengan Kartu Kredit BCA https://t.co/EZ268ADEFr,katalogpromosi
2,"@syahrul38 @GunRomli @muannas_alaidid Gak usah byk ngeles, biar adil ahok salah ngomong vonis 2 thn, prabowo salah ngomong gak usah banyak2 diskon 1 thn penjara aja",Aviecena05
3,"Mitsubishi T120 ss . Colt diesel L300, strada triton.. Diskon besar!! pemesanan hub pin:224F94C4 ,085624829 ##mitsubishi #pajero #outlander",juraganPickup
4,Udah pada isi saldo TCASH nya belum? Belanja #PakeTCASH di #simPATIKickfestXII Bandung bisa dapet diskon tambahan dan cashback sampe 20% lho! @TCASH_ID @kickfest https://t.co/bDEhxTsexc,simPATI
5,"Halo, Sahabat KAI! Kami nantikan kehadiranmu di KAI EXPO 2018 yang akan diselenggarakan pada 3-4 November 2018 di Indonesia Convention Center (ICE) BSD City. Dapatkan diskon tiket KA… https://t.co/gb16x7w1Sp",hendra_ns
6,@DArdhyRian -Berlaku utk semua kartu mandiri debit dan mandiri kartu kredit kecuali corporate card dan hypermart card -Tdk berlaku kelipatan -Promo diskon dll tidak dpt diuangkan -Berlaku utk pembelian seluruh produk Pizza Hut -Tdk berlaku pada outlet di dalam Dept. Store (cont)(3),mandirifiesta
7,Karena cuma https://t.co/e8CGb948wk online shop terlengkap dan terpercaya yang bakal manjain kita dengan promo dan diskon tiap harinya. Semuanya lebih mudah dengan @bliblidotcom 😎  #FunWithBlibli,woodeiy
8,"@DArdhyRian mandiri debit &amp;/ kartu kredit min Rp200.000,- akan mendapatkan potongan harga hingga 30% dgn tukar fiestapoin. -Maks diskon dgn fiestapoin adalah Rp500.000/transaksi. -Program berlaku di seluruh outlet, berlaku dine in &amp; take away (cont)(2)",mandirifiesta
9,"@DArdhyRian Utk promo pizza menggunakan fiestapoin dpt kami informasikan adalah promo ""Diskon Hingga 30% Dengan Fiestapoin Di Pizza Hut"" ya Bpk Rian. S&amp;K yg berlaku adalah sbb: -Setiap pembelanjaan di seluruh outlet Pizza Hut dgn (cont)(1)",mandirifiesta
10,Waterboom Lippo Cikarang Promo Diskon 20%* Khusus Pengguna Kartu PONTA INDONESIA | sd. 31 Desember 2018 https://t.co/NfVhMeUI20,katalogpromosi
11,"Weekend gini bingung mau kemana? Gak usah bingung guys, dateng aja ke Jakcloth di De Tjolomadoe,Solo dan jangan lupa mamoir ke booth Piero.  Kita punya program menarik untuk kalian berupa diskon up to 60% dan program trade in dengan sepatu bekas.  Sampai bertemu di lokasi ya. https://t.co/m74VDP2xG9",pieroindonesia
12,Beli pisang dapet diskon manggis cen lek wes sayang iku gae gampang nangis,cindyatsanio
13,@yuflyulk Hhmm good idea. Ntar aku coba nego ke mbak maleficentnya. Kali aja bisa di kSih diskon,vousmayvoyez
14,"Kalo udah di uninstall, jdid malah lg ngasih diskon khusus peralatan rumah. Emang dibuat susah move on.",bitaheldaroini
