,tweet,user
0,@kaesangp Minta rekumem mas.. Gmn bli spy dpet diskon..,untung_hr
1,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
2,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
3,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
4,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
5,"@benzbara_ @StorialCo Kalau nggak salah, buat baca Espresso, sy menghabiskan pulsa sekitar 50ribuan buat isi coin storial. Diskon coin  sampe 50%. Nggak terlalu berasa karena beli coinnya juga nyicil. Jadi kantong tak sobek kok 😎",iladelfa
6,Kamu bakalan dapat diskon 25% kalo beli tiket pake kartu BTN https://t.co/tgRFUhAOGR  #ecogreenpark,ecogreenpark
7,https://t.co/xVvp3iKDVy bekerja sama dengan Korea Tourism Organization (KTO) menggelar promosi diskon Rp 1.000.000. https://t.co/I0guSxn61l,KompasTravel
8,#Pragiwaksono Amsterdam teramat menyenangkan. Gue kembali dengan Batik dari @batikplatform . Jangan lupa belanja di website @batikplatform pake promo code PRAGIWAKSONO akan dapet diskon… https://t.co/CMqyXULsdf,pandji
9,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
10,"Kalau membandingkan dengan Yaumul boleh, asal kamu salah mengenalku. Seumuran itu harga dirinya gede. Diskon anti katanya. Dunia seluruhnya milik bersama, katanya.",rizky_alfian463
11,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
12,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
13,"Hai Millenials Bogor, kami akan hadir di Botani Square mulai LUSA s/d 11 November 2018. Dapatkan HARGA TIKET DISKON SPESIAL untuk kunjunganmu di libur akhir tahun  https://t.co/RK8be96TRU #Jungleland #DuniaCeria #JunglelandTEDUH #2018GoesToJungleland https://t.co/87v91BTQ0S",JungleLand_Indo
