,tweet,user
0,"_yusufmi [1] Selamat pagi, Mas Yusuf. Mengenai Telkomsel Poin dapat ditukarkan dengan beberapa kategori berikut: - SMS Telkomsel, paket telepon dan internet, - Paket produk digital seperti nada dering, konten dan game, - Berbagai produk dan diskon menarik dari merchant yang",nancyjwI
1,"_yusufmi [1] Selamat pagi, Mas Yusuf. Mengenai Telkomsel Poin dapat ditukarkan dengan beberapa kategori berikut: - SMS Telkomsel, paket telepon dan internet, - Paket produk digital seperti nada dering, konten dan game, - Berbagai produk dan diskon menarik dari merchant yang",kLyztral
2,"_yusufmi [1] Selamat pagi, Mas Yusuf. Mengenai Telkomsel Poin dapat ditukarkan dengan beberapa kategori berikut: - SMS Telkomsel, paket telepon dan internet, - Paket produk digital seperti nada dering, konten dan game, - Berbagai produk dan diskon menarik dari merchant yang",Iavieyenrose
3,"_yusufmi [1] Selamat pagi, Mas Yusuf. Mengenai Telkomsel Poin dapat ditukarkan dengan beberapa kategori berikut: - SMS Telkomsel, paket telepon dan internet, - Paket produk digital seperti nada dering, konten dan game, - Berbagai produk dan diskon menarik dari merchant yang",jisungcnt
4,https://t.co/AbBA9N8PjC  Mau Tambahan Diskon cukup dengab memiliki Kartu Diskon aja 😘😘😘,odnaymaufar
5,"_yusufmi [1] Selamat pagi, Mas Yusuf. Mengenai Telkomsel Poin dapat ditukarkan dengan beberapa kategori berikut: - SMS Telkomsel, paket telepon dan internet, - Paket produk digital seperti nada dering, konten dan game, - Berbagai produk dan diskon menarik dari merchant yang_yusuf",jooyurizone
6,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
7,"Cardholders, sudah pada gajian belum nih? Setelah gajian boleh banget loh makan siang bareng sahabat di Tom Tom. Jangan lupa gunakan #mandiricard dan nikmati diskon 20% #mandiripromo https://t.co/LH9p7xwY24 https://t.co/CygvK9ncbc",mandiricard
8,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
9,"@_yusufmi [1] Selamat pagi, Mas Yusuf. Mengenai Telkomsel Poin dapat ditukarkan dengan beberapa kategori berikut: - SMS Telkomsel, paket telepon dan internet, - Paket produk digital seperti nada dering, konten dan game, - Berbagai produk dan diskon menarik dari merchant yang",Telkomsel
10,"Tunik Kinasih Songket  Ukuran: tercantum di gambar, no accessories Bahan: tercantum di gambarnya Harga ecer: 155rb/pcs Beli banyak dapat diskon Reseller/Dropship welcome  Contact &amp; Order:… https://t.co/Q3ktCs9wLW",ria_indra
11,orang2 liat barang diskon 50% langsung diborong  aku liat barang diskon 50% ngitung dulu harganya jadi berapa setelah dipotong diskon eh tetep ngga kebeli,bayu_joo
12,"Main togel online dengan DISKON TERBESAR Diskon 2D = 29,75% 3D = 59,5% 4D = 66% Semua hanya ada di https://t.co/WH42JSV7tp  PinBB : 2B261E83",88hokii88
13,"Selamat pagi,  @KAI121 mau nanya dong..  Apakah diskon untuk penumpang lansia masih berlaku untuk saat ini? Kalo iya,  syarat dan ketentuan nya bagaimana?  Terima kasih sebelumnya..",VittaChrst
14,Berbagai penawaran November ada disini...  Dapatkan harga lebih murah hanya dengan membuat Kartu Diskon Oriflame 😍  Info klik WhatsApp https://t.co/OE2QgcoImE,odnaymaufar
