,tweet,user
0,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
1,Diskon 70 % Bawahan Wanita Terbaru di Bukalapak https://t.co/9rd1T8Ytkd https://t.co/HicGStwqbR,jegudcom
2,@meaniemars Diskon adanya di tanggal tua doang ya :D abis gajian masa minta diskon!,softestserve
3,"Acara gathering, arisan, atau kumpul keluarga belum lengkap tanpa AraSari. Manfaatkan diskon spesial untuk jumlah pembelian yang banyak. Seperti Promo Oktober AraSari yaitu DISKON BELANJA BANYAK!! #diskonbelanjabanyak #promo #promooktober #diskonarasari https://t.co/PScuY7suZ9",AraSariOfficial
4,CITILINK Hemat hingga 20%  potongan langsung hingga 500rb  Diskon 30% seat &amp; meals | Periode pembelian: 29 Oktober 2018 Ð 10 November 2018 https://t.co/bwr5bYIB7x,katalogpromosi
5,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
6,@dwiasp Promo khusus untuk rute ke Amsterdam belum tersedia. Namun tersedia promo kerjasama dengan beberapa bank partner kami diskon hingga 25% yang berlaku untuk rute ke Amsterdam juga. Cek https://t.co/uUrK3Qqn5w.  - Janet,IndonesiaGaruda
7,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
8,"aku islam, aku suka natal, karna saat natal banyak event game dan diskon item.",ndin_lukito
9,"Jadi inget. Dulu pas awal2 buka bo, ada yg ngaku mahasiswa kan. Minta diskon. Gak gw kasih. Gw malah dikatain abis-abisan.   Yg kocak, dia bawa2 almamaternya dia yg paling terkenal se depok itu. Dan blg kalau dia mampu bayar 5x lipat tp bulan ini lg banyak tugas jd duitnya dikit",iraira92
10,Love nature LIP BALM coconut/melon/mango 😘 OMG cocok skali buat yg punya masalah bibir sering kering/terkelupas 😍😍 diskon 50% utk promo produk baru pesan sekarang ready senin neh #Oriflame,BisniswithVG
11,Spesial November! Ada diskon 10k setiap pembelian gamis..  Tanya stok ke WA 081277870343 / 085274747408,IndarNovisary
12,Di superindo ada vinca mix harganya diskon. Tapi barangnya ga ada 😔,farelnine
13,DISKON!!! Mulai tgl 30 Oktober - 10 November 2018  Dengan syarat follow @yuplih_ dan tag 3 temen kamu di kolom komentar  READY STOCK REAL PICT  Kode: SLING VALLEY   Detail:  Bahan chloe… https://t.co/f2SZJqb9wl,yuplih_
14,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
