,tweet,user
0,"PROMO 30 oktober - 5 November 2018!  Korean Skincares!  Check it out, harga tertera sudah diskon. Belum dengan ongkir yaaa https://t.co/uvOE0xywjh",belvelvet
1,Tangkap maskot dan jerat diskonnya! Ayo mainkan games jerat jerit di merchants keren di toko terdekat. Cashback dan diskon dari 1.100 stores super keren bakal buat kamu menjerit! Buruan sebelum ketinggalan serunya #HisteriaJeratJerit #BlibliHisteria https://t.co/8PDiuCFFlG,bliblidotcom
2,"@aerocutipie Wkwkwk  Ada diskon soalnya susah nin, hehe",novayanty09
3,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
4,@Regran_ed from @hosofshopaholic  -  BOOM SALE !! Wait is Over!! Dari hari ini sampai dari tanggal 1- 5 November Diskon All Items 30-40%!! Tempatnya di Parkiran House Of Shopaholic… https://t.co/8em4UkHvtz,sale_yk
5,"Lagi diskon pas gada duit kan nangis :"" https://t.co/RMQrw1L4mv",pinkeujeje
6,@New_preloved Jual produk2 jims honey dan makeup original Ada shopee Banyak diskon :),DevyKurniaw
7,"Astaga terniat dipengujung taun wkwk. Kalo lu bisa nonton tanpa senyum, gue kasih miper gratis gapake diskon wkwkk https://t.co/OAk1lCNHxb",XBTSZ
8,@oktaecchi_ iya diskon 100k HUHU GODAAN,syahlaptr
9,The Duck King AEON MALL Jakarta Garden City Soft Opening Promo - Harga Spesial Dimsum Rp. 21.800++ atau Diskon 20%* | Lihat informasi dan ketentuan promosi selengkapnya hanya di https://t.co/ZDrKMwWn9n,katalogpromosi
10,Cung... Siapa yang punya akun BliBli...   Lagi ada promo ketce buat besok...   Diskon sampai 250rebuu loh..,dewy_chalim
11,@pieceeees @womanfeeds Aku bru aja beli itu krna tergiur diskon 😭 pas liat rep2an pda blg bgus krna nahan minyak d wjh 😪,mychickent
12,@ijasikka Shit i just remembered abt my shirt too...... like itu aku bisa beli anytime sih tapi.... ngejar diskon..... holiday sale.... im not even sure now I wanna buy don though fr  Oh bener juga ya! Temenmu rencana mau beli juga kah?,imgnrsprt
13,"Aku ke matahari donk, itu pun yg diskon 75% https://t.co/t7qODtdbEo",dherama
14,============== KAOS FILA  ===≠========== PRICE : HARGA DISKON Rp.70k/pcs  Spesifikasi Kaos : - Cotton Combed 30s Original 100% (High Quality) - Ringan &amp; Lembut. - Tidak Kaku &amp; Tidak… https://t.co/tQbdP0twN2,ceksbeibeceks
