,tweet,user
0,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
1,Menemukan diskon 70% di CP pas lagi butuh adalah sesuatu,Bintangprdana
2,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
3,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
4,@qiminjou Ada diskon kaga buat cogan?,nctjaexh
5,"Pas belanja minta diskon. Tawarin jadi member, ga mau. Lah member kan dapat diskon 24 jam setiap hari. Aneh! Cuma modal 9.900 lho.",ning13starry
6,"Tidak pernah bisa menahan godaan tiap kali melihat tanda berbunyi promo, diskon, atau cashback buat makanan dan minuman. Iman (dan perut) terlalu lemah. 😂",TarizSolis
7,@rohmahkr_07 @XLAxiata_Tbk Apalagi bnyk diskon gini ya mbak #JadiLebihBaik,AnneLesmana
8,@dsuperboy Anak kos juga yang paling tau dimana ada tempat nongkrong yang baru buka dengan harga menu yg diskon setengah harga. Biar tetep elit tapi low-budget 🤣,FerdinanRepigus
9,"Cardholders, sudah pada gajian belum nih? Setelah gajian boleh banget loh makan siang bareng sahabat di Tom Tom. Jangan lupa gunakan #mandiricard dan nikmati diskon 20% #mandiripromo https://t.co/LH9p7xwY24 https://t.co/CygvK9ncbc",mandiricard
10,"dalam puisi saya Suluk Awang-Uwung transendensi itu adalah teistik Jawa-Islam  karya : Kuntowijoyo harga : Rp35.000,- diskon : 25% hingga 15 November tebal : 44 hlmn jenis :… https://t.co/N7EuwQDKU1",IyigBookstore
11,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
12,"guys bantu retweet ya.  OT: dijual dengan harga DISKON 50% satu set tempat tidur double bed anak-anak, dari Rp 16 juta menjadi Rp 8 juta saja.   100% hasil penjualan akan DISUMBANGKAN UNTUK KORBAN BENCANA GEMPA LOMBOK/PALU.   hubungi: 081212894455 (Nia - Ayo Dongeng Indonesia). https://t.co/k8FdzCbWDM",rossonerifreak
