,tweet,user
0,@wonomonstax Karna providerku seorang monbebe apakah aku akan mendapatkan diskon ?,lmxnhyk
1,"#mandiripromo RT @mandiricard Nah siapa nih yang sudah nungguin diskon di MAP? Cardholders, diskon MAP  kali ini hingga 50% loh. Yuk kapan lagi kan? Langsung gunakan #mandiricard dan nikmati diskonnya #mandiripromo https://t.co/EaXi2bS1v8  https://t.co/zJopuVmDkc",maswan37
2,@Dindaapr3 Kamu yang beli pertama aku kasih diskon mau kujadikan testimoni,hanastyr
3,"Nah siapa nih yang sudah nungguin diskon di MAP? Cardholders, diskon MAP kali ini hingga 50% loh. Yuk kapan lagi kan? Langsung gunakan #mandiricard dan nikmati diskonnya #mandiripromo https://t.co/9oWxw9g4up https://t.co/68azTfPPRQ",mandiricard
4,"Berbagai diskon dan program menarik menunggumu!  Yuk datang dan kunjungi Pameran IT terbesar di Indonesia : Indocomtech, 31 Oktober – 4 November 2018 di Jakarta Convention… https://t.co/gFVLaVuHzb",trenteknologi
5,"Hi, gunakan kode berikut ini cindyHX7LTWN4440 untuk mendapatkan diskon pembelian paket ruangbelajar di Aplikasi mobile @ruangguru",cndygqn
6,miskin level: liat-liat barang di toko mahal sambil pura-pura buka hp balesin chat padahal lagi buka kalkulator ngitungin harga setelah diskon eh tetep aja duitnya gak cukup 🤷,ririnriandini
7,HARI INI! BLIBLI Promo Permata HEBAT! Diskon Hingga Rp 200.000 dengan Kartu Debit PermataMe! https://t.co/PHUPdxgyn0,katalogpromosi
8,miskin level: liat-liat barang di toko mahal sambil pura-pura buka hp balesin chat padahal lagi buka kalkulator ngitungin harga setelah diskon eh tetep aja duitnya gak cukup 🤷,ririnriandini
9,"@BukaBantuan @bukalapak Dapat voucher dr shake a ton... voucher diskon 99%....nah, itu voucher bisa dipakai berapa kali?",momoharax
10,Keadaan Mirota saat hari Jumat adalah gak banget  Thread berbelaja ke mirota pada saat hari diskon 👇👊,sofimarinda
11,"Siangnya, dikomporin @fisnaa ada emoney special edition yg lucu parah, lagi diskon. Malemnya di mention ternyata dapet giveaway. Hae 💕   untung kan gak tergoda beli 😀  Terimakasih BPN, sudah sampai ya 🙆 https://t.co/82XSBswywj",astripus
12,"Sahabat, yuk nikmati belanja hemat produk-produk kecantikan dari Sogo Department Store bagi nasabah #mandiridebit atau #mandiricard. Ada tambahan diskon hingga 50% dengan tukar #fiestapoin, lho! https://t.co/29V3dVoHBf #mandiripromo https://t.co/Ub7vjtBFw9",mandirifiesta
13,Baru kali ini interview malah dikasih voucher diskon blanja batik dari HRDnya 😅,trisnakinan
14,"Pengen belanja produk-produk kecantikan dengan lebih hemat? Nikmati promo spesial dari Sogo Department Store bagi nasabah #mandiridebit atau #mandiricard serta tambahan diskon hingga 50% dengan tukar #fiestapoin, lho! https://t.co/29V3dV76cF #mandiripromo https://t.co/sL4UeN1FOT",mandirifiesta
