,tweet,user
0,Anjir kebiasaan lupa ada diskon dan ada barang yg mau dibeli:(((,Revinsyah
1,Diskon! Di mal ga dapet jeans keren harga 100rb! Cepet order di WA 081293994981 https://t.co/IYhdLWLRCP jaringaniklan,BillionStore
2,HANYA HARI INI! SHOPEE Promo 11.11 Big Sale! 11.11 Mom &amp; Kids Day – Produk Ibu &amp; Anak Diskon Hingga 90% Off! https://t.co/2LM7ab9zmj,katalogpromosi
3,COD pembelian voucher game online dengan murah + diskon! Kapan lagi? khusus untuk daerah jabodetabek yaaa!,mooienterprise
4,FREE ONGKIR UNTUK PENGAMBILAN DUA PAKET PLUS DISKON KHUSUS !,anitasherbal
5,Ealah baru tau tempatnya aja hari ini fix lewat dah diskon pukis 7k 😭  Jebul mung ngarep kampus,Moku33953288
6,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
7,Menyesal membiarkan voucher diskon VNC hangus 😭,nanaanata
8,@ansdyoga h&amp;m lagi diskon tuh ceng sama pb,wildanzharfan
9,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
10,"https://t.co/a511GWSUx4 diskon 2% untuk pembelian 50ribu pertama mu, semua produk, buruannnn",awereweaceh
11,"Cardholders, sudah pada gajian belum nih? Setelah gajian boleh banget loh makan siang bareng sahabat di Tom Tom. Jangan lupa gunakan #mandiricard dan nikmati diskon 20% #mandiripromo https://t.co/LH9p7xwY24 https://t.co/CygvK9ncbc",mandiricard
12,"Nah siapa nih yang sudah nungguin diskon di MAP? Cardholders, diskon MAP kali ini hingga 50% loh. Yuk kapan lagi kan? Langsung gunakan #mandiricard dan nikmati diskonnya #mandiripromo https://t.co/9oWxw9g4up https://t.co/68azTfPPRQ",mandiricard
