,tweet,user
0,Diskon Spesial 20% kembali hadir untuk Anda. Segera dapatkan Asuransi Perjalanan hanya berlaku untuk pembelian langsung (tanpa perantara) melalui website Tokio Marine Indonesia. https://t.co/N3Xo9ELmP8 #NewTravelPartner #Travel #TravelInsurance #TokioMarineIndonesia https://t.co/WuxAMGeEzb,TokioMarineID
1,"Mitsubishi T120 ss . Colt diesel L300, strada triton.. Diskon besar!! pemesanan hub pin:224F94C4 ,085624829 ##mitsubishi #pajero #outlander",juraganPickup
2,"@Transsemarang Terima kasih @Transsemarang sudah mengantar saya sampai tujuan, pakai go pay dapat diskon 50% https://t.co/xujjcA7pUw",arifiya80131279
3,Kenapa Eatigo belum ada di Jakarta ya? Ini menarik bgt buat pemburu diskon macem saya. Makan jam 11 atau 3PM gpp yg penting diskon 50%!! Thanks @eatigo_ph 😬 https://t.co/2ZqQD2CsRU,tdaryatmo
4,"Siapa bilang paket umroh akhir tahun harganya mahal? Hari ini, DISKON 1 JUTA untuk semua paket umroh pilihanmu! Cek disini: https://t.co/QwLXPdlI8R Nikmati kemudahan pemesanan via smartphone-mu #SuperJumat #PromoUmroh #UmrohkuCaraku #JumatBerkah https://t.co/DvaCaRPAiU",pergiumrohcom
5,"Agak nyesek browsing game  kemaren dan tau kalo Battlefield I lagi diskon 80%.. Dan pas mau bikin akun PayPal, diskon nya udahan dong hahahahahahahahahahah https://t.co/EaHZAdayRT",aristyooo
6,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
7,"Pesta Diskon Besar-besaran. Segera dapatkan di ""Giant Supermarket"" @plaza_blokm lantai LG. #Promo hanya berlaku dari 2 - 4 November 2018. @gotomalls @AdaDiskon @infojakarta @Giladiskon @twitNsave @GiantIndo @serbapromosi @WomanRadio943FM @TabloidWI https://t.co/YRiCODTbZT",plaza_blokm
8,MOTHERCARE Promo Junior Artist In The Making ELC Toys! Produk Mainan untuk Anak Diskon Hingga 30%! https://t.co/LpUskNiBRT,katalogpromosi
9,suka bermain judi togel? join segera di WWW*ANDROID4D*COM (*ganti dengan titik) situs judi togel online terbesar teraman ternyaman dan terpercaya. diskon togel terbesar -2D : 29% -3D : 59% -4D : 66%  masih banyak promo menarik lainnya. berlaku untuk semua pasaran togel #singapore https://t.co/KjTHpxFPzZ,Andro4d
