,tweet,user
0,"@kredivo min, mhn penjlsan kenapa diskon yg saya dapatkan sbsr 100rb, tau2 hilang, padahal pembelian pertama saya gak sampai 10rb dilazada.",NinaDinawati
1,"Gajian makin seru di https://t.co/r9MwgvqhaA dengan diskon produk WRP hingga 15%. Yuk, beli sekarang juga karena promo hanya hingga 5 November 2018! https://t.co/zjMi0Z8GVZ",NutriMartID
2,@afadhima @Rabbiyaya @lynmtea @suryaramadann @lmilatiana @gardagagar @devidaputriay @rahagyu29 @bayu_joo Aku selaku penjualnya biasanya aku naikin 10% dari harga normal baru aku diskon  haha,adjianto_fendi
3,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
4,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
5,"ILUNI MM-UI dan Selasar, present CEO Talks: Seminar Management Insight-Leading Millenials.   Pesan tiket, dan dapatkan diskon 20% dengan sebut kode promo: kumparan, dan tunjukan bahwa kamu sudah punya aplikasi kumparan saat datang di acara! Register now: +62816939424 (WA Only) https://t.co/kZkYWXUHo0",kumparan
6,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
7,Astaghfirullah ini GrabFood diskon terus gue kapan nabungnya. 😭 ),YONGJIM2F
8,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
9,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
10,SPECIAL PROMO BUAT ANDA PECINTA DESAIN !!!  *JASA DESAIN LOGO (DISKON 5%) *JASA DESAIN BROSUR (DISKON 5%) *JASA DESAIN KALENDER (DISKON 5%) *JASA IKLAN DI SSE (DISKON 15%)  DAN BERBAGAI PELAYANAN TERBAIK UNTUK DESAIN !!!  AYO  HUBUNGI SEKARANG WA : ASSEGAF (0817-7997-5106) https://t.co/V0ArEQF9xm,SatuViral
11,"Saya beli kedua kalinya, tapi tetep aja tidak dapet garpu kecilnya. Gimana ini @kaesangp ? Harusnya dapet diskon 1000, karna garpunya tidak diikutsertakan. https://t.co/kTAnau1TIK",Haerlin___
12,Ayo dibeli dibeli mumpung diskon akhir tahun. 😅 https://t.co/H2t99jib8q,giewahyudi
13,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
14,@dsuperboy 10 ribu bang +esteh+krupuk.. kadang dapet diskon gorengan 1. Hhh,zaa_azhar
