,tweet,user
0,"@OtoTank Hai, Mohon maaf atas ketidaknyamanannya, jika kamu belum dapat melakukan transaksi pembelian menggunakan promo/voucher/diskon dari Bukalapak, silakan mencoba melakukan transaksi di lapak lain atau di lain waktu secara berkala ya.",BukaBantuan
1,Kamu bakalan dapat diskon 25% kalo beli tiket pake kartu BTN https://t.co/tgRFUhAOGR  #ecogreenpark,ecogreenpark
2,"@asalulus @rlthingy Hoo iya bener, mungkin karena dari shopee nya sendiri lagi diskon gede gedean juga akhir ini kali ya 🤔 apalagi nanti 11.11 ya._. Ini aja di supermarket khusus produk jepang harga canmake mahal gile. Semoga sih harganya ga salah input macam kasus holika holika kemarin ya☹️ https://t.co/iCp0sRBDi6",bllackswaan
3,Diskon ini membuatku puseng,asalulus
4,@bllackswaan @rlthingy Iya kak  Misalnya kan harganya 50k tuh lagi diskon  Terus kan buy 1 get 1  Berarti jadinya satu barang 25k?,asalulus
5,"@asalulus @rlthingy Harga diskon aja itu jadi segitu. Kalau di nggak diskon normalnya 278k, bahkan ada yang jual sampe 300k an. Terakhir aku liat di watson GI harganya 200k an sekian/botol",bllackswaan
6,"""Mba, maskara-nya pake merk apa?""  ""Itu tuh yg kmrn diskon 30% di guardian.""  Tiba2 terdengar suara lirih, ""Dasar miskin.""",yomaulida17
7,"Bagi anda yg menyukai penghematan dan Promo2 diskon , Mari Follow diskonevoucher krn banyak info diskon berguna bagi anda .. .",PontasYabesS
8,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
9,Samsung Experince Store by NASA Promo Indocomtech 2018 - cashback hingga Rp3 Juta + tambahan diskon hingga Rp1 Juta menggunakan Kartu Kredit bank tertentu| Lihat informasi promosi dan penawaran selengkapnya hanya disini https://t.co/v98Puhy3jp,katalogpromosi
10,"gak usa pusing, barang kita #murah ditambah selalu ada diskon #sale - cek aja ya sis/bro - https://t.co/idjcyqD6gi",olshopbali
11,"@asalulus @rlthingy Iya, makanya aku kaget liat official acc canmake shopee lagi diskon + buy 1 get 1 free. Di offlinenya, harga canmake ini lumayan kalo ga diskon, foundie nya seharga 278k kalo ga diskon. Ini dia lagi diskon harga 95k buy 1 get 1 free..duhhh😂",bllackswaan
12,aku beli sheet mask ini di sociolla. waktu aku beli lagi diskon 50% jadi 💸14.375 aja dan aku punya voucher kerupuk jadi gratis deh ehehehehehe ga jd terbang duit aku 😏,jichuIiette
13,VNC 4 DAYS SALE up to 70% off mulai tanggal 01-04 November 2018 | Buruan Mampir  mana tau produk inceran kamu ikutan diskon | Pengen tau lebih lanjut ? Yuk cek ketentuan lengkapnya disini https://t.co/KqS1M6GXOO,katalogpromosi
14,Carissa by quail Bahan diamond crepe  Ecer IDR 58.000 Seri 5 lDR 49.300  DISKON seri semua item  Luqi Hijab Store Seri 5 diskon 15% Seri 10 diskon 20%  Stok🛒warna emerald #luqihijabdotcom #luqihijabstore #pashminainstanlipit #pashminaemerald #pashmin… https://t.co/anPV2xavUf https://t.co/ecOmBMsSv8,online_jilbab
