,tweet,user
0,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
1,"Diskon Besar""an Nih Di ijenorensdistro Buruan Yg Pengen Cari Atribut / Merchandise Pusamania Silahkan Dtg Ke ijenorensdistro .. https://t.co/3Iyy4sLIG3",zhelyndezo
2,Promo TOSERBA YOGYA Katalog JSM Akhir Pekan 2 - 4 November 2018 | Lihat info selengkapnya di https://t.co/YkLmgbpq1y https://t.co/YkLmgbpq1y,harga_promo
3,Promo diskon murah hanya di https://t.co/a7WQxzx5XQ #bukalapak https://t.co/gAnqdBT7J2 ##diskon #ollshop #shoping,efviel
4,165 Wedding Exhibition Bakal Banjir Diskon dan Hadiah https://t.co/yDqz2W61pU https://t.co/sdgxNEaj5U,radar_malang
