,tweet,user
0,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
1,"Tunik Marbella Ukuran: tercantum di gambar, no accessories Bahan: tercantum di gambarnya Harga ecer: 110rb/pcs Beli banyak dapat diskon Reseller/Dropship welcome  Contact &amp; Order: check… https://t.co/WKOuFtu9V7",ria_indra
2,Halo! Temanmu baru mengirimkan Rp7.500 di Lazada. https://t.co/MRQABJljvs diskon besar besaran https://t.co/gXULUrwzwd,Sanderia10
3,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
4,"Nginap di Hotel Ini, Peserta BPJS Cuma Bayar Setengah!  Banyak diskon lainnya juga ditawarkan Pesonna Hotel Semarang. https://t.co/LyB189WMB6 https://t.co/LyB189WMB6",sumberita_id
5,"@peyekkeyep @infomalang Belut Prima Cak Wanto juga sip, apalagi kalo belinya pake ojol yg suka ngasi diskon mabelasrebu itu. 😳",MLG_backpacker
6,Selamat Buat Mbk Ami Malinso 🎉🎉🎉 Bulan lalu banyak dapat hadiah 😍 . . . Gratis Parfum The One dari Kak Agung Sagung Indah Absari Group  Lolos Jam Cantik Juga  Dan Dpt diskon 50% untuk 1 produk bulan ini yeyy  Go Higher mb😘,Sumar_diamond
7,"@bayu_joo Gue kalo liat diskon 50% atau 70% gak terlalu fokus, yang jadi fokus gue kalo liat diskon itu adalah harga awalnya berapa",Rp1899
8,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
9,"Black friday, app store nya apple biasanya ada diskon gitu nga sih? @makemac",rann_dy
10,"bingung bgt ini &gt;&lt; beli di gmarket apa po olshop biasa (eg:https://t.co/W8H8qZzvUQ) ? kalo beli di gmarket beli full apa album aja ya? gmarket (ada diskon) : album set + kihno + ems = 790k , album set + ems = 560k   bingung bgt &gt;&lt; siapapun tolong akuuu https://t.co/qxOkIElI6J",jinhwiyaa
11,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
12,Udah dibuka yaa order bulan November  Make up nya banyak yg diskon 😍,PujiiYanii
13,"@mffttaa Hi, terkait diskon merchant silahkan kamu konfirmasikan ke pihak merchant langsung ya, untuk informasi kode diskon Kredivo hanya dapat di lakukan pada transaksi pertama di Kredivo ya. Salam Hangat :)",kredivo
14,Juventus Upayakan Diskon Harga Juan Mata Dari Manchester United - https://t.co/4o1UWcTS8A https://t.co/EfzJRj0KLQ,gilabolacom
