,tweet,user
0,@Raihan071997new buat mahasiswa gaada diskon pa ka hehe,Doni48913456
1,miskin level: liat-liat barang di toko mahal sambil pura-pura buka hp balesin chat padahal lagi buka kalkulator ngitungin harga setelah diskon eh tetep aja duitnya gak cukup 🤷,ririnriandini
2,Nikmati Promo of The Week booking hotel murah di Indonesia  diskon s.d 67% https://t.co/U7XywHXBRZ  #PromoHotel #HotelMurah #Liburan #Hotel,HotelTiket
3,@poqonyan Mahal ah gajadi beli kalo ga diskon 😂,hennyokta
4,yang kepo yang kepo mas mbak https://t.co/t1ETT38nhw diskon 50%,kemrondallasrp
