,tweet,user
0,"isi rekening selamat dr LAP yg lg diskon gila""an tp ga selamat ngalir ke swing ㅠㅠ",shabrienha
1,"Halo, Sahabat KAI! Kami nantikan kehadiranmu di KAI EXPO 2018 yang akan diselenggarakan pada 3-4 November 2018 di Indonesia Convention Center (ICE) BSD City. Dapatkan diskon tiket KA… https://t.co/MZCQjT38HS",hendra_ns
2,alihkan aku juga dr pesona @Wendys yang tiap hr rabu diskon 50% pake tcash,Ulyanh1
3,"#TipsBeliMobil Tanya program yang sedang berjalan di bulan ini. Biasanya akhir taun program diskon / promo bonus2nya banyak. contoh: HONDA BIG SURPRISE, 70 Win &amp; CELEBRASIA. • • Undian 5… https://t.co/HENdGn7VbA",randipuja
4,"Eh, mau ada #FestivalBelanja1111 nih. Mau cari barang apa? Banyak diskon loh dari #Lazada1111 https://t.co/HQ0Fc8vPHB",faainun
5,Pen &amp; Paw menjual kaos-kaos branded dan murah2.. DISKON 10% untuk ALL ITEM!! buruan add 2256EA97 ##penandpaw,penandpaw
6,"Veggie stick Dapurhijau..   Camilan non msg, tanpa pengawet, rendah gula garam, free gluten  Diskon 10 ℅ untuk pembelian 1-2 pack Diskon 15% untuk pembelian 3 pack dst  harga &amp; Varian  🔷Veggie stick 🔷 🔸Veggie... https://t.co/6qP8KuT4fk",poppyamalia
7,CHICKING Indonesia Promo November Ceria Diskon 20%* setiap pembelian MAMIN 2 (Makan Minum) setiap hari jam 10.00 - 22.00 sampai akhir November 2018 https://t.co/bdlo90KTSc https://t.co/f5S94ChpeF,katalogpromosi
8,"Kemesraan ini janganlah cepat berlalu.. eh berlalu aja deh cepet, biar bs mungutin lg bluechip yg diskon 🤣",fitrieratna
9,Tangkap maskot dan jerat diskonnya! Ayo mainkan games jerat jerit di merchants keren di toko terdekat. Cashback dan diskon dari 1.100 stores super keren bakal buat kamu menjerit! Buruan sebelum ketinggalan serunya #HisteriaJeratJerit #BlibliHisteria https://t.co/8PDiuCFFlG,bliblidotcom
10,"Buat kalian yang suka belanja online, gue punya pengumuman! #Lazada1111 tinggal menghitung hari lagi loh ! BAKAL DISKON GEDE-GEDEAN DI #FestivalBelanja1111  Nah, dari sekarang install… https://t.co/j6sG4iX7wY",takdos
11,Yes! Dapat produk diskon yang diincar di toko online langganan. Happy banget karena dari dulu udah mupeng sama si HDD 2TB. Sekarang file - file penting bisa tertata #JadiLebihBaik di hard disk baru. Memang ya dengan sinyal penuh @XLAxiata_Tbk semua bisa dijangkau dan didapatkan.,VinaEska
12,"Nah siapa nih yang sudah nungguin diskon di MAP? Cardholders, diskon MAP kali ini hingga 50% loh. Yuk kapan lagi kan? Langsung gunakan #mandiricard dan nikmati diskonnya #mandiripromo https://t.co/9oWxw9g4up https://t.co/68azTfPPRQ",mandiricard
13,"Bingung cari tempat untuk santai, Kunjungi Kami di Sate Giga Serang.Nikmati varian rasa Sate bersama orang terdekat Anda, Sdr/i, kerabat, maupun rekanan Anda hanya di Sate Giga. Diskon Spesial sebesar 10% selama masa Opening &amp; +diskon 10% upload ke FB, Instagram &amp; Twitter. https://t.co/iYyEz6uIOy",SATEGIGA
