,tweet,user
0,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
1,"Happy weekend ultra people 💘 bingung hari sabtu ini mau kemana? Rencanain liburan bareng keluarga di ancol dengan menggunakan aplikasi ultra voucher, kamu akan mendapatkan diskon murah. Perorang hanya bayar tiket masuk 18.000 loh ;) #ancol #weekendvoucher #ultravoucher",Ultra_voucher
2,"@unametakenterus @askmenfess @Stray_Kids Beli di https://t.co/4RQPKTpjgz kak, kemarin beli micellar water garnier lg diskon jadi 8rban beli dua, eh ga sadar ternyata dapet totebag",bucinjagung
3,"Hai, Sobat Shopee! Yuk cobain fitur Bayar Di Tempat (COD) dengan GRATIS ONGKIR minimal 50RB serta dapatkan DISKON hingga 70%! 😍🎉 Asik banget kan, untuk tahu info lengkapnya atau cek di sini 👉🏻https://t.co/YI1Lonz6eo  😊👆🏼#ShopeeID #Shopee1111 #Shopee1111BigSale https://t.co/JrJZYp13Vt",ShopeeID
4,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
5,"""HANYA 3 HARI!!!!"" 🎊 3 Days Sale 2-4 2018 🎊   Dapatkan diskon 10% minimal belanja 1 juta berlaku untuk Member 😀  📎 Cashback Voucher Rp. 100.000 untuk transaksi… https://t.co/ezxjZbVNxB",haris_deni
6,"Wih, ada paket buku bagus tapi murah, Luuur... Sudah diskon besar, dapat bonus buku lagi. Ntap... silakan digaaaas... di @mojokstore https://t.co/epN4MDKYBj",Puthutea
7,Promo ALFAMART Katalog Alfamart JSM Akhir Pekan 2 - 4 November 2018 | Lihat info selengkapnya di https://t.co/XRnNIxlEpJ https://t.co/XRnNIxlEpJ,harga_promo
8,"Dowoon   🐶modal dong di mah pake Tossa 🐶selain sayur dia jg jualan gas 3kg wkwk 🐶 plus jasa masangin tabung gas 🐶Udh ada bandrol harga jd ga usah bnyk nanya 🐶mahal bgt nih petenya?! ya udah sy diskon 5% krn ibu langganan dy 🐶buibu sibuk belanja, dia ngegame 🤧 https://t.co/3zrOy0dvNJ",n_agustinaaa
9,"Min, ga ada diskon ya? Dari pasar senen ke yogya @KAI121",Malita205
10,"Main togel online dengan DISKON TERBESAR Diskon 2D = 29,75% 3D = 59,5% 4D =66% Semua hanya ada di https://t.co/7EWu98aMd4  PinBB :E3A6EFFF ,WA : +63 945771 0808 , LINE : togel88wd #agendtogelonline #togelonline #prediksihongkong #judi #togel88wd #prediksitogelakurat #togelakurat https://t.co/Q3zm0Af7dc",Togel88wd
11,@renitacd Tersedia promo kerjasama dengan beberapa bank partner kami. Diskon hingga 25%. Lengkapnya cek https://t.co/uUrK3Qqn5w. Terima kasih.  - Janet,IndonesiaGaruda
12,"Blus Syahira Lurik Ukuran: tercantum di gambar, no accessories Baha: tercantum di gambar  Harga ecer: 180rb/pcs  Beli banyak dapat diskon Reseller welcome  Contact &amp; Order: check Bio 👆👆 WA… https://t.co/k15kmMJxBX",ria_indra
13,@womanfeeds Maybelline!! Yang push up drama. Kemaren lagi diskon,aesthbad
14,@amenielcanoo Yg ini gk msuk ke diskon :),nawannass
