,tweet,user
0,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
1,LG Q6+ hadir hadir dengan dimensi baru pada pengalaman melihat smartphone. Dilengkapi IPS Full HD FullVision terbaru. Miliki sekarang dan dapatkan diskon dan bonusnya. Klik https://t.co/rF7hopkcYk https://t.co/CIy2yFTzeo,DINOMARKET
2,"Preorder bukuku masih tersedia hingga tanggal 6 November :)  Ada bonus postcard, sign, dan diskon 20% khusus untuk preorder  @NouraPublishing @mizanstore   Kamu bisa mengikuti preordernya melalui link berikut: https://t.co/McB9cLrnDd https://t.co/NrWWGVjTXj",dittameliaa
3,"Preorder bukuku masih tersedia hingga tanggal 6 November :)  Ada bonus postcard, sign, dan diskon 20% khusus untuk preorder  @NouraPublishing @mizanstore   Kamu bisa mengikuti preordernya melalui link berikut: https://t.co/McB9cLrnDd https://t.co/NrWWGVjTXj",dittameliaa
4,Parfum dan handbody Harumnya lembut banget 😊 Handbody tapi wangi nya kayak wangi parfum Yuuk order mumpung lagi diskon 30%👇👇,tHatHa_131196
5,orang2 liat barang diskon 50% langsung diborong  aku liat barang diskon 50% ngitung dulu harganya jadi berapa setelah dipotong diskon eh tetep ngga kebeli,bayu_joo
6,Nikmati diskon 30% dengan Maybank Kartu Kredit setiap hari Jumat di Devon Café.  Informasi lebih lanjut: https://t.co/oYEnHS2j3H https://t.co/sQ90I10QQs,MaybankID
7,"Peringati HKN, Prodia Blitar Beri Diskon 20 Persen https://t.co/NrXgDoMHVi",jawapos
8,Nikmati diskon hingga 25% dengan Maybank Kartu Kredit di Coca Suki.  Informasi lebih lanjut: https://t.co/Ls0Kadfpiq https://t.co/SRI2parwfn,MaybankID
9,"@vivikuuu @tubirfess Diskon dong sis aku udah kentang, miskin lagi",kkochioni
10,"Nah siapa nih yang sudah nungguin diskon di MAP? Cardholders, diskon MAP kali ini hingga 50% loh. Yuk kapan lagi kan? Langsung gunakan #mandiricard dan nikmati diskonnya #mandiripromo https://t.co/9oWxw9g4up https://t.co/68azTfPPRQ",mandiricard
11,"Hai, Sobat Shopee! Ada kabar baik nih, Sobat Shopee bisa belanja dan dapatkan potongan DISKON 11% dengan menggunakan kartu kredit BCA, OCBC, dan UOB. Jangan lupa gunakan kode voucher ketika melakukan pembayaran ya!  😍🎉 #ShopeeID #Shopee1111 #Shopee1111BigSale https://t.co/e1g0pxGmc9",ShopeeID
12,PROMO AKHIR TAHUN  KHUSUS MINGGU INI  All New Fortuner TRD disel TDP 50.000.000 Stok 2018 Terbatas Buruan pesan..... ▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬ -Diskon PULUHAN JUTA RUPIAH * -Tambahan bonus… https://t.co/x1BOZa6eA9,promotoyota__
13,"Jangan lewatkan kesempatan mendapatkan diskon langsung sebesar 20% setiap melalukan pembelian melalui website Rosda untuk seluruh judul terbitan kami. Catat tanggalnya: 1-7 November 2018. Borong, yuk?!  #reguler",ROSDAKARYA
14,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
