,tweet,user
0,Diskon 50% utk pembelian minuman Starbucks Autumn dgn Starbucks Tumbler/Mug &amp; Kartu Kredit BCA. Hingga 5 Nov. https://t.co/fgXKUnDA1j,redirectline
1,The Duck King Promo DISKON Rp. 100.000 dengan Kartu Kredit UOB berlaku tanggal 01 Agustus 2018 – 31 Januari 2019 | Informasi selengkapnya di https://t.co/YOAGQ8yFej,katalogpromosi
2,@moontaewin GRABFOOD MBAA kalo di kota gw pake ovo diskon 20rb min pembelian 30rb kalo pake cash diskon 15rb min pembelian 25rb di kota2 besar keknya lebih gede DISKONNYAAAAA,laimegreen
3,@YuniShemale klo cowok kurus gak di diskon,ari_udun03
4,Lagi pengen essence saya tu tolong jangan diskon dulu medihealnya😭😭😭,bvttercookies
5,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
6,orang2 liat barang diskon 50% langsung diborong  aku liat barang diskon 50% ngitung dulu harganya jadi berapa setelah dipotong diskon eh tetep ngga kebeli,bayu_joo
7,Mediheal diskon jadi 195. Cobaan apa lagi ini......,bvttercookies
8,"Perbedaan Matahari dengan Bulan? Matahari ada diskon, Bulan tidak ada.",Sanita_RMCF
9,"@pepisigiro Langsung jual murah ya pep, diskon ga ada yg beli hahahaha",rimarimpong
10,"Hy Grameds! Kali ini Gramedia memberikan inspirasi dan kejutan menarik Diskon spesial 10% bagi pengguna kartu Debit BRI &amp; BRIZZI , serta diskon spesial 15% bagi pengguna kartu Kredit BRI. Diskon yang berlangsung khusus buku terbitan Kompas Gramedia! Langsung ke @gramediapwkerto https://t.co/vLUqy4Rj14",gramediapwkerto
11,"Ada Yang Diskon juga nih !, Mau tau? Simak ya ~",MbahJerseyID
12,"Brands favorit sekelas Fossil dan FujiFilm siap bikin kamu menjerit! Gimana enggak, semuanya bakal kebagian cashback 100% dan diskon sampai 70%. Buruan #BlibliSekarang,  hanya di #HisteriaJeratJerit, kalau kamu gak mau kehabisan.",bliblidotcom
13,"Hi Friends, kami hadir kembali tahun ini di Indocomtech. Langsung mampir ke booth https://t.co/69vHdY5m72 buat kamu yg lg cari gadget terkini dgn diskon yg luar biasa. Yuk ke Hall A JCC Senayan! #BliblionIndocomtech https://t.co/t3ONiujGt7",bliblidotcom
14,Lelang online dimulai dari harga 10rb hingga flash sale diskon hingga 65% hanya di booth https://t.co/69vHdYmXvC Hall A Jakarta Convention Center. #BliblionIndocomtech https://t.co/o9WNXBEUs0,bliblidotcom
