,tweet,user
0,Prediksi SYDNEY 2/11/18  Angka Hidup    : 8 Angka Main      : 12578 Angka 4D (BB) : 8891 Angka 3D (BB) : 891 Angka 2D (BB) : 91 / 88 / 82 / 57 Colok BEBAS 2D: 8 &amp; 9 Besar/ Kecil : BESAR Tebak SHIO : Naga Diskon Togel Terbesar Hanya di Entertogel https://t.co/ZcOr0mdGha #juditogel https://t.co/U2SO6ARb3b,enter_togel
1,Waterboom Lippo Cikarang Promo Diskon 20%* Khusus Pengguna Kartu PONTA INDONESIA | sd. 31 Desember 2018 https://t.co/NfVhMfcjqA,katalogpromosi
2,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
3,"LAP nya daniel lagi diskon gede”an, pengen tshirt take me nya 😭😭😭😭😭😭😭😭😭",leeleehae
4,@IndonesiaGaruda untuk diskon manula minimal umur berapa ya??,Syarief_Aly
5,Ayo jerat-jerit sekarang dengan diskon spesial di Brand Store Deals! Kamu bisa dapatkan diskon hingga 5 juta dan cashback 100%! Buruan jerat dan #BlibliSekarang di #HisteriaJeratJerit sebelum kehabisan!,bliblidotcom
6,Diskon kutek THE ONE😍 Harga Normal Rp.79.900 Harga Diskon Rp.47.900 Hayoooooo ini botol lebih besar dari Nail Polish yahhhh beb,Aan_Icka
7,Diskon spesial 25% untuk pembelian langsung Asuransi Mobil di seluruh kantor Tokio Marine Indonesia Terdekat. https://t.co/25LW9B94vs   #AutoPartner #AsuransiMobil #AsuransiAMAN #TokioMarineIndonesia https://t.co/h1P9RhLSPP,TokioMarineID
8,Ayo jerat-jerit sekarang dengan diskon spesial di Brand Store Deals! Kamu bisa dapatkan diskon hingga 5 juta dan cashback 100%! Buruan jerat dan #BlibliSekarang di #HisteriaJeratJerit sebelum kehabisan!,bliblidotcom
9,Jangan tunggu 11.11 GANS! Belanja sekarang dan dapatkan diskon sampai 50% hanya di https://t.co/VJMPVP0S3q #TeamHooligans #SemuaDiskon https://t.co/DXLU2x4KkR https://t.co/Ohn61Ry3Y4,Hooligans12th
10,"FANTASTIC PROMO! Beli 1 Rp140.000,- Beli 2 Rp 240.000,-  *) Periode 1-5 November. *) Tidak berlaku kelipatan. *) Hanya berlaku pada halaman ini.  Pic: Emba __  Yuk belanja! https://t.co/qyjDmJANAP  #Jumat #Diskon #InfoJakarta #InfoPromo  #FREEONGKIR https://t.co/eIv4m7V8DO",VIPPlazaID
11,Tambahan diskon jadi 40% untuk buku : 1. #DiayangKembali  2. #LoveGame  3. #Catastrophe   Hayuuk order sekarang #onlinebookfair https://t.co/gURWiizNF4,BukuWanita
12,@cinema21 Gak ada diskon nih? 😌,mshintadgl
13,hari ini hari belanja buku 🤓📚📚 *efek ada diskon buku dari dua toko buku besar 😂,pebe_pebe
14,"Gw pernah beli nih bath&amp;body works yg warm vanilla sugar..ENA BGT sumpit, di counter nya lgsg, wkt w beli lg diskon makanya beli pas dtg lagi dah naik :((( 250rb yalord :(( akhirnya gw beli di olshop temen...tp trnyt kayanya itu kawe, jdnya wanginya beda gaenak...mana 175rb😭",zefaniarxo
